timestep,group,group_members,MSEUr_mean,DTUr_mean,sched_members,sched_members_complete,decision,reward
1,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, MAX)","[[1, 4], [0, 2, 3, 5, 6]]","[[1, 4], [0, 2, 3, 5, 6]]","dec(G0, NaN, 25)",0.31
2,0,"[0, 1, 5]","inc(MSEUr_mean, MAX)","inc(DTUr_mean, Q4)","[[1, 5], [0]]","[[1, 4, 5], [0, 2, 3, 6]]","const(G0, NaN, 75)",0.312
3,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[1, 5], [0]]","[[1, 4, 5], [0, 2, 3, 6]]","const(G0, Q1, 75)",0.322
3,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[4], [2, 3, 6]]","[[1, 4, 5], [0, 2, 3, 6]]","const(G1, Q1, 25)",0.322
4,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[], [0, 1, 5]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 0)",0.315
4,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[2], [3, 4, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q1, 25)",0.315
5,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1]]","[[2, 4, 5, 6], [0, 1, 3]]","inc(G0, Q1, 25)",0.421
5,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[2, 4, 6], [3]]","[[2, 4, 5, 6], [0, 1, 3]]","inc(G1, Q4, 75)",0.421
6,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[0, 1], [5]]","[[0, 1, 3, 6], [2, 4, 5]]","inc(G0, Q3, 75)",0.483
6,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[3, 6], [2, 4]]","[[0, 1, 3, 6], [2, 4, 5]]","dec(G1, Q3, 50)",0.483
7,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[5], [0, 1]]","[[2, 3, 5], [0, 1, 4, 6]]","dec(G0, Q1, 25)",0.483
7,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[2, 3], [4, 6]]","[[2, 3, 5], [0, 1, 4, 6]]","const(G1, Q3, 50)",0.483
8,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[1], [0, 5]]","[[1, 2, 3], [0, 4, 5, 6]]","const(G0, Q1, 25)",0.479
8,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[2, 3], [4, 6]]","[[1, 2, 3], [0, 4, 5, 6]]","const(G1, Q4, 50)",0.479
9,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[1], [0, 5]]","[[1, 4], [0, 2, 3, 5, 6]]","const(G0, Q2, 25)",0.438
9,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[4], [2, 3, 6]]","[[1, 4], [0, 2, 3, 5, 6]]","dec(G1, Q2, 25)",0.438
10,0,"[0, 1, 3, 5]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q3)","[[0, 3], [1, 5]]","[[0, 3, 4], [1, 2, 5, 6]]","inc(G0, Q4, 50)",0.495
10,1,"[2, 4, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[4], [2, 6]]","[[0, 3, 4], [1, 2, 5, 6]]","const(G1, Q1, 25)",0.495
11,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[1], [0, 5]]","[[1, 2, 6], [0, 3, 4, 5]]","dec(G0, Q1, 25)",0.494
11,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[2, 6], [3, 4]]","[[1, 2, 6], [0, 3, 4, 5]]","inc(G1, Q3, 50)",0.494
12,0,"[0, 1, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1, 6]]","[[2, 3, 5], [0, 1, 4, 6]]","const(G0, Q2, 25)",0.507
12,1,"[2, 3, 4]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[2, 3], [4]]","[[2, 3, 5], [0, 1, 4, 6]]","const(G1, Q4, 75)",0.507
13,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[5, 6], [0, 1, 3]]","[[2, 5, 6], [0, 1, 3, 4]]","inc(G0, Q4, 50)",0.517
13,1,"[2, 4]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[2], [4]]","[[2, 5, 6], [0, 1, 3, 4]]","dec(G1, Q2, 50)",0.517
14,0,"[0, 1, 5]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[0, 5], [1]]","[[0, 4, 5, 6], [1, 2, 3]]","const(G0, Q4, 75)",0.577
14,1,"[2, 3, 4, 6]","const(MSEUr_mean, Q2)","dec(DTUr_mean, Q4)","[[4, 6], [2, 3]]","[[0, 4, 5, 6], [1, 2, 3]]","inc(G1, Q3, 50)",0.577
15,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[1, 5], [0, 3, 6]]","[[1, 2, 4, 5], [0, 3, 6]]","const(G0, Q3, 50)",0.565
15,1,"[2, 4]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[2, 4], []]","[[1, 2, 4, 5], [0, 3, 6]]","const(G1, Q3, 100)",0.565
16,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[1, 5], [0, 3, 6]]","[[1, 5], [0, 2, 3, 4, 6]]","const(G0, Q3, 50)",0.569
16,1,"[2, 4]","const(MSEUr_mean, Q2)","inc(DTUr_mean, MAX)","[[], [2, 4]]","[[1, 5], [0, 2, 3, 4, 6]]","dec(G1, Q1, 0)",0.569
17,0,"[0, 1, 5, 6]","const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[1], [0, 5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","dec(G0, Q1, 25)",0.483
17,1,"[2, 3, 4]","const(MSEUr_mean, Q2)","dec(DTUr_mean, Q4)","[[3], [2, 4]]","[[1, 3], [0, 2, 4, 5, 6]]","inc(G1, Q1, 25)",0.483
18,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 5, 6], [1, 3]]","[[0, 2, 5, 6], [1, 3, 4]]","inc(G0, Q4, 50)",0.571
18,1,"[2, 4]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[2], [4]]","[[0, 2, 5, 6], [1, 3, 4]]","const(G1, Q2, 50)",0.571
19,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[1], [0, 3, 5, 6]]","[[1, 4], [0, 2, 3, 5, 6]]","dec(G0, Q2, 25)",0.496
19,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[4], [2]]","[[1, 4], [0, 2, 3, 5, 6]]","const(G1, Q2, 50)",0.496
20,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[3], [0, 1, 5, 6]]","[[3, 4], [0, 1, 2, 5, 6]]","const(G0, Q2, 25)",0.497
20,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[4], [2]]","[[3, 4], [0, 1, 2, 5, 6]]","const(G1, Q1, 50)",0.497
21,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0, 1, 3, 5, 6], []]","[[0, 1, 3, 5, 6], [2, 4]]","inc(G0, Q4, 100)",0.853
21,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[0, 1, 3, 5, 6], [2, 4]]","dec(G1, Q1, 0)",0.853
22,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[1], [0, 3, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.509
22,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G1, Q1, 0)",0.509
23,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[1, 6], [0, 3, 5]]","[[1, 2, 6], [0, 3, 4, 5]]","inc(G0, Q4, 50)",0.54
23,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[2], [4]]","[[1, 2, 6], [0, 3, 4, 5]]","inc(G1, Q2, 50)",0.54
24,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[0], [1, 3, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G0, Q2, 25)",0.518
24,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [2, 4]]","[[0], [1, 2, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.518
25,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[3], [0, 1, 5, 6]]","[[2, 3, 4], [0, 1, 5, 6]]","const(G0, Q2, 25)",0.554
25,1,"[2, 4]","const(MSEUr_mean, Q2)","const(DTUr_mean, Q4)","[[2, 4], []]","[[2, 3, 4], [0, 1, 5, 6]]","inc(G1, Q4, 100)",0.554
26,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 0)",0.518
26,1,"[2, 4]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[2], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G1, Q2, 50)",0.518
27,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[3, 6], [0, 1, 5]]","[[3, 6], [0, 1, 2, 4, 5]]","inc(G0, Q4, 50)",0.601
27,1,"[2, 4]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[], [2, 4]]","[[3, 6], [0, 1, 2, 4, 5]]","dec(G1, Q1, 0)",0.601
28,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","inc(DTUr_mean, Q4)","[[3, 6], [0, 1, 5]]","[[3, 4, 6], [0, 1, 2, 5]]","const(G0, Q4, 50)",0.564
28,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[4], [2]]","[[3, 4, 6], [0, 1, 2, 5]]","inc(G1, Q2, 50)",0.564
29,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 0)",0.528
29,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[2], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G1, Q2, 50)",0.528
30,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[6], [0, 1, 3, 5]]","[[2, 4, 6], [0, 1, 3, 5]]","inc(G0, Q2, 25)",0.565
30,1,"[2, 4]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[2, 4], []]","[[2, 4, 6], [0, 1, 3, 5]]","inc(G1, Q4, 100)",0.565
31,0,"[0, 1, 3, 5, 6]","const(MSEUr_mean, Q3)","const(DTUr_mean, Q4)","[[5], [0, 1, 3, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","const(G0, Q2, 25)",0.534
31,1,"[2, 4]","const(MSEUr_mean, Q2)","inc(DTUr_mean, Q4)","[[], [2, 4]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G1, Q1, 0)",0.534
32,0,"[0, 1, 2, 3, 5, 6]","inc(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G0, Q1, 0)",0.524
32,1,[4],"inc(MSEUr_mean, Q4)","dec(DTUr_mean, Q4)","[[4], []]","[[4], [0, 1, 2, 3, 5, 6]]","inc(G1, Q2, 100)",0.524
33,0,"[0, 1, 2, 3, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","inc(G0, Q2, 25)",0.521
33,1,[4],"const(MSEUr_mean, Q4)","inc(DTUr_mean, Q4)","[[], [4]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G1, Q1, 0)",0.521
34,0,"[0, 1, 2, 3, 4, 5, 6]","inc(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.509
35,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 5], [0, 1, 3, 4, 6]]","[[2, 5], [0, 1, 3, 4, 6]]","inc(G0, Q4, 25)",0.572
36,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","dec(G0, Q2, 25)",0.504
37,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.498
38,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1, 2, 3, 4, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","const(G0, Q2, 25)",0.504
39,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.498
40,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.497
41,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4, 6], [0, 1, 2, 3, 5]]","[[4, 6], [0, 1, 2, 3, 5]]","inc(G0, Q4, 25)",0.557
42,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G0, Q2, 25)",0.501
43,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.502
44,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.503
45,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.517
46,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.508
47,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0], [1, 2, 3, 4, 5, 6]]","[[0], [1, 2, 3, 4, 5, 6]]","const(G0, Q1, 25)",0.518
48,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 2], [1, 3, 4, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","inc(G0, Q4, 25)",0.577
49,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","dec(G0, Q1, 25)",0.512
50,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.51
51,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q2, 25)",0.51
52,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","const(G0, Q2, 25)",0.513
53,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","const(G0, Q2, 25)",0.514
54,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 5], [1, 2, 3, 4, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","inc(G0, Q4, 25)",0.593
55,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.515
56,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 2], [0, 3, 4, 5, 6]]","[[1, 2], [0, 3, 4, 5, 6]]","inc(G0, Q4, 25)",0.567
57,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2], [0, 1, 3, 4, 5, 6]]","[[2], [0, 1, 3, 4, 5, 6]]","dec(G0, Q1, 25)",0.505
58,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1], [0, 2, 3, 4, 5, 6]]","[[1], [0, 2, 3, 4, 5, 6]]","const(G0, Q2, 25)",0.506
59,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[6], [0, 1, 2, 3, 4, 5]]","[[6], [0, 1, 2, 3, 4, 5]]","const(G0, Q2, 25)",0.504
60,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","inc(G0, Q4, 25)",0.576
61,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 6], [0, 1, 3, 4, 5]]","[[2, 6], [0, 1, 3, 4, 5]]","const(G0, Q4, 25)",0.559
62,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 5], [0, 2, 3, 4, 6]]","[[1, 5], [0, 2, 3, 4, 6]]","const(G0, Q4, 25)",0.572
63,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3, 6], [0, 1, 2, 4, 5]]","[[3, 6], [0, 1, 2, 4, 5]]","const(G0, Q4, 25)",0.559
64,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 2], [1, 3, 4, 5, 6]]","[[0, 2], [1, 3, 4, 5, 6]]","const(G0, Q4, 25)",0.567
65,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","const(G0, Q4, 25)",0.573
66,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G0, Q1, 25)",0.507
67,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3], [0, 2, 4, 5, 6]]","[[1, 3], [0, 2, 4, 5, 6]]","inc(G0, Q4, 25)",0.569
68,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 4], [0, 1, 3, 5, 6]]","[[2, 4], [0, 1, 3, 5, 6]]","const(G0, Q4, 25)",0.564
69,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 6], [1, 2, 3, 4, 5]]","[[0, 6], [1, 2, 3, 4, 5]]","const(G0, Q4, 25)",0.572
70,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 5], [2, 3, 4, 6]]","[[0, 1, 5], [2, 3, 4, 6]]","inc(G0, Q4, 50)",0.649
71,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 3, 5], [1, 2, 4, 6]]","[[0, 3, 5], [1, 2, 4, 6]]","const(G0, Q4, 50)",0.656
72,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1, 2, 3, 4, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G0, Q1, 25)",0.522
73,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 2, 3, 6], [1, 4, 5]]","[[0, 2, 3, 6], [1, 4, 5]]","inc(G0, Q4, 50)",0.708
74,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4], [0, 2, 5, 6]]","[[1, 3, 4], [0, 2, 5, 6]]","dec(G0, Q4, 50)",0.646
75,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 2, 5], [1, 3, 4, 6]]","[[0, 2, 5], [1, 3, 4, 6]]","const(G0, Q4, 50)",0.659
76,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4], [0, 1, 2, 3, 5, 6]]","[[4], [0, 1, 2, 3, 5, 6]]","dec(G0, Q1, 25)",0.523
77,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 5], [1, 2, 3, 4, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","inc(G0, Q3, 25)",0.593
78,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.587
79,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[2, 4], [0, 1, 3, 5, 6]]","[[2, 4], [0, 1, 3, 5, 6]]","const(G0, Q3, 25)",0.579
80,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1], [2, 3, 4, 5, 6]]","[[0, 1], [2, 3, 4, 5, 6]]","const(G0, Q3, 25)",0.585
81,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3], [0, 1, 2, 4, 5, 6]]","[[3], [0, 1, 2, 4, 5, 6]]","dec(G0, Q1, 25)",0.516
82,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 3, 4, 6], [1, 2, 5]]","[[0, 3, 4, 6], [1, 2, 5]]","inc(G0, Q4, 50)",0.722
83,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 5], [1, 2, 3, 4, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","dec(G0, Q3, 25)",0.594
84,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 3], [1, 2, 4, 5, 6]]","[[0, 3], [1, 2, 4, 5, 6]]","const(G0, Q3, 25)",0.59
85,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[5], [0, 1, 2, 3, 4, 6]]","[[5], [0, 1, 2, 3, 4, 6]]","dec(G0, Q1, 25)",0.528
86,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 4, 6], [2, 3, 5]]","[[0, 1, 4, 6], [2, 3, 5]]","inc(G0, Q4, 50)",0.727
87,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 5], [1, 2, 3, 4, 6]]","[[0, 5], [1, 2, 3, 4, 6]]","dec(G0, Q3, 25)",0.596
88,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 5], [0, 2, 4, 6]]","[[1, 3, 5], [0, 2, 4, 6]]","inc(G0, Q4, 50)",0.653
89,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[3, 4], [0, 1, 2, 5, 6]]","[[3, 4], [0, 1, 2, 5, 6]]","dec(G0, Q3, 25)",0.59
90,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[0, 1, 3], [2, 4, 5, 6]]","[[0, 1, 3], [2, 4, 5, 6]]","inc(G0, Q4, 50)",0.656
91,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[4, 5], [0, 1, 2, 3, 6]]","[[4, 5], [0, 1, 2, 3, 6]]","dec(G0, Q3, 25)",0.593
92,0,"[0, 1, 2, 3, 4, 5, 6]","const(MSEUr_mean, Q4)","const(DTUr_mean, Q4)","[[1, 3, 4, 6], [0, 2, 5]]","[[1, 3, 4, 6], [0, 2, 5]]","inc(G0, Q4, 50)",0.719
